,Date,Open,Close,Adj_Close,High,Low,Symbol
273,2015-10-15,1.97,1.97,1.97,2.06,1.95,AMD
274,2015-10-14,1.92,1.95,1.95,1.96,1.92,AMD
275,2015-10-13,1.87,1.92,1.92,1.94,1.86,AMD
276,2015-10-12,1.96,1.87,1.87,1.96,1.85,AMD
277,2015-10-09,1.92,1.96,1.96,1.96,1.89,AMD
278,2015-10-08,1.87,1.93,1.93,1.95,1.85,AMD
279,2015-10-07,1.82,1.86,1.86,1.87,1.82,AMD
280,2015-10-06,1.80,1.83,1.83,1.86,1.80,AMD
281,2015-10-05,1.82,1.80,1.80,1.87,1.77,AMD
282,2015-10-02,1.76,1.83,1.83,1.83,1.72,AMD
283,2015-10-01,1.77,1.74,1.74,1.77,1.72,AMD
284,2015-09-30,1.70,1.72,1.72,1.72,1.68,AMD
285,2015-09-29,1.67,1.67,1.67,1.69,1.65,AMD
286,2015-09-28,1.69,1.66,1.66,1.70,1.66,AMD
287,2015-09-25,1.75,1.71,1.71,1.75,1.68,AMD
288,2015-09-24,1.68,1.72,1.72,1.73,1.66,AMD
289,2015-09-23,1.76,1.70,1.70,1.78,1.69,AMD
290,2015-09-22,1.80,1.73,1.73,1.84,1.72,AMD
291,2015-09-21,1.87,1.81,1.81,1.90,1.81,AMD
292,2015-09-18,1.87,1.87,1.87,1.92,1.85,AMD
293,2015-09-17,1.90,1.89,1.89,1.94,1.87,AMD
294,2015-09-16,1.87,1.89,1.89,1.90,1.85,AMD
295,2015-09-15,1.84,1.86,1.86,1.87,1.81,AMD
296,2015-09-14,2.00,1.82,1.82,2.00,1.81,AMD
297,2015-09-11,1.88,2.01,2.01,2.14,1.81,AMD
298,2015-09-10,1.84,1.84,1.84,1.88,1.83,AMD
299,2015-09-09,1.90,1.85,1.85,1.97,1.83,AMD
300,2015-09-08,1.85,1.88,1.88,1.88,1.83,AMD
301,2015-09-04,1.76,1.82,1.82,1.84,1.76,AMD
302,2015-09-03,1.76,1.79,1.79,1.85,1.76,AMD
303,2015-09-02,1.75,1.77,1.77,1.77,1.72,AMD
304,2015-09-01,1.77,1.71,1.71,1.82,1.71,AMD
305,2015-08-31,1.82,1.81,1.81,1.87,1.79,AMD
306,2015-08-28,1.75,1.85,1.85,1.87,1.75,AMD
307,2015-08-27,1.74,1.78,1.78,1.84,1.74,AMD
308,2015-08-26,1.69,1.72,1.72,1.73,1.66,AMD
309,2015-08-25,1.82,1.66,1.66,1.82,1.66,AMD
310,2015-08-24,1.69,1.75,1.75,1.83,1.65,AMD
311,2015-08-21,1.68,1.78,1.78,1.80,1.68,AMD
312,2015-08-20,1.79,1.70,1.70,1.80,1.70,AMD
313,2015-08-19,1.80,1.80,1.80,1.81,1.76,AMD
314,2015-08-18,1.79,1.80,1.80,1.82,1.75,AMD
315,2015-08-17,1.82,1.80,1.80,1.88,1.80,AMD
316,2015-08-14,1.80,1.84,1.84,1.85,1.79,AMD
317,2015-08-13,1.90,1.79,1.79,1.91,1.79,AMD
318,2015-08-12,1.88,1.90,1.90,1.93,1.84,AMD
319,2015-08-11,1.91,1.90,1.90,1.93,1.88,AMD
320,2015-08-10,1.92,1.93,1.93,1.98,1.82,AMD
321,2015-08-07,2.10,2.09,2.09,2.14,2.06,AMD
322,2015-08-06,2.15,2.11,2.11,2.17,2.10,AMD
323,2015-08-05,2.11,2.16,2.16,2.21,2.10,AMD
324,2015-08-04,2.18,2.13,2.13,2.18,2.05,AMD
325,2015-08-03,1.93,2.20,2.20,2.20,1.90,AMD
326,2015-07-31,1.94,1.93,1.93,1.99,1.92,AMD
327,2015-07-30,1.94,1.93,1.93,1.99,1.88,AMD
328,2015-07-29,1.77,1.96,1.96,1.99,1.76,AMD
329,2015-07-28,1.62,1.77,1.77,1.77,1.62,AMD
330,2015-07-27,1.67,1.62,1.62,1.70,1.61,AMD
